trichilia;trichilia
pycnogonidae;pycnogonidae
aulagromyza anteposita;aulagromyza anteposita
phytoecia cylindrica;phytoecia cylindrica
turdus torquatus;turdus torquatus
apodichthys fucorum;apodichthys fucorum
aacanthocnema luehmannii;aacanthocnema luehmannii
sterna hirundo;sterna hirundo
simulium argus;simulium argus
bagous (bagous) binodulus;bagous (bagous) binodulus
microscypha ellisii;microscypha ellisii
psittacanthus;psittacanthus
ampelisca richardsoni;ampelisca richardsoni
formica integra;formica integra
clianthus puniceus;clianthus puniceus
amblygonocarpus andongensis;amblygonocarpus andongensis
puccinia bupleuri;puccinia bupleuri
spilostethus pacificus;spilostethus pacificus
indigofera macrophylla;indigofera macrophylla
rosa multiflora;rosa multiflora
dothiorella pyrenophora var. pyrenophora;dothiorella pyrenophora var. pyrenophora
symmachia tricolor;symmachia tricolor
embelia tsjeriam-cottam;embelia tsjeriam-cottam
argynnis pandora;argynnis pandora
donax variabilis;donax variabilis
astarte;astarte
trichophorum;trichophorum
ancistrosyllis;ancistrosyllis
sylvia communis;sylvia communis
hippocratea;hippocratea
anthela ocellata;anthela ocellata
pterula caricis-pendulae;pterula caricis-pendulae
achilidae;achilidae
aeneolamia;aeneolamia
ennomos subsignaria;ennomos subsignaria
rhinoncus pericarpius;rhinoncus pericarpius
uvariopsis;uvariopsis
branta canadensis;branta canadensis
roxania utriculus;roxania utriculus
embiotoca lateralis;embiotoca lateralis
ascocoryne solitaria;ascocoryne solitaria
periphyllus;periphyllus
stagonospora samarorum;stagonospora samarorum
hydrochus subcupreus;hydrochus subcupreus
filippovia knipovitchi;filippovia knipovitchi
teriomima;teriomima
mesocelis;mesocelis
mycenella bryophila;mycenella bryophila
diatrypella favacea;diatrypella favacea
sephisa chandra;sephisa chandra
trisetacus pini;trisetacus pini
salpa gerlachei;salpa gerlachei
dicamptodon ensatus;dicamptodon ensatus
remotaspidiotus chenopodii;remotaspidiotus chenopodii
trogossitidae;trogossitidae
psidium guajava;psidium guajava
verticordia densiflora;verticordia densiflora
entodesmium niesslianum;entodesmium niesslianum
brotogeris chiriri;brotogeris chiriri
hohenbuehelia tremula;hohenbuehelia tremula
agave deserti;agave deserti
calogyne;calogyne
scarabidae;scarabidae
cassis tuberosa;cassis tuberosa
liriodendron;liriodendron
hethemia pistasciaria;hethemia pistasciaria
ranunculus repens;ranunculus repens
isoperla obscura;isoperla obscura
coenosia;coenosia
lasiocampa quercus;lasiocampa quercus
ascochyta oleracea;ascochyta oleracea
satakentia liukiuensis;satakentia liukiuensis
idiodes saxaria;idiodes saxaria
erannis defoliaria;erannis defoliaria
citrus trifoliata;citrus trifoliata
protomedeia fasciata;protomedeia fasciata
cyrioides imperialis;cyrioides imperialis
penstemon cobaea;penstemon cobaea
tipuana tipu;tipuana tipu
maranthes;maranthes
picradeniopsis oppositifolia;picradeniopsis oppositifolia
microporella umbracula;microporella umbracula
semalea;semalea
fundulus heteroclitus;fundulus heteroclitus
neptunia plena;neptunia plena
buprestis lineata;buprestis lineata
malachra;malachra
sasakia charonda;sasakia charonda
coprinopsis cothurnata;coprinopsis cothurnata
zaretis callidryas;zaretis callidryas
trachypenaeus;trachypenaeus
angelica morii;angelica morii
platyscelus ovoides;platyscelus ovoides
striatella unipunctata;striatella unipunctata
farfantepenaeus duorarum;farfantepenaeus duorarum
cervus elaphus;cervus elaphus
carabidae;carabidae
elachista bifasciella;elachista bifasciella
viola pallens;viola pallens
bassania schreiteri;bassania schreiteri
pholiota brunnescens;pholiota brunnescens
synopsia sociaria;synopsia sociaria
nitraria billardierei;nitraria billardierei
ficus asperifolia;ficus asperifolia
sotoplax robertsi;sotoplax robertsi
lavandula dentata;lavandula dentata
angelica morrisonicola;angelica morrisonicola
phomopsis cacti;phomopsis cacti
